ZIP CODE,CRASH_COUNT
Unspecified,377285
11207,13535
11236,10196
11234,9414
11212,9292
11385,9233
11203,9072
11208,8821
11226,8598
11434,8444
11101,8424
11233,7569
11368,7523
11201,7429
10019,7342
10002,7033
10467,7000
10036,6980
10001,6832
11211,6816
11230,6808
11206,6775
10016,6478
11373,6437
10466,6341
10013,6231
10457,6150
11377,6042
11235,6028
10022,5996
10458,5920
11220,5895
11210,5894
10460,5731
11432,5698
11420,5671
10469,5655
11354,5649
10451,5628
11413,5519
11217,5496
11372,5334
11223,5332
11215,5332
11221,5326
11219,5307
11218,5253
10459,5200
10461,5077
10462,5005
11213,4986
10018,4958
11222,4920
11214,4863
11229,4851
11435,4841
10454,4834
11355,4763
10035,4758
11204,4645
10472,4638
10468,4602
10011,4565
10456,4560
11422,4521
10029,4418
10455,4397
10453,4331
10306,4272
10463,4271
11237,4216
11378,4160
11209,4082
11216,4055
11691,4052
11238,4048
11419,3967
10003,3936
10304,3892
11375,3857
10452,3750
11205,3746
10301,3708
10027,3698
10017,3666
11433,3641
10065,3576
10473,3546
10032,3526
11225,3518
11417,3442
11369,3386
11412,3373
10012,3340
10465,3205
10010,3191
10475,3147
11231,3116
10305,3105
10474,3082
11228,3062
10312,3047
11418,3046
11367,3023
11249,2990
11232,2967
10033,2883
10023,2852
11224,2661
11429,2637
11358,2620
11374,2592
11379,2558
11361,2548
11423,2533
10025,2513
11421,2475
11370,2426
10034,2351
10128,2325
10024,2314
10009,2290
11411,2290
10021,2284
11106,2281
11365,2231
11414,2179
10310,2157
10470,2155
11103,2150
11357,2122
11356,2052
11416,1912
11427,1898
10031,1895
10309,1884
10026,1852
10007,1850
10014,1841
11436,1763
10028,1757
11102,1708
11105,1672
11428,1668
10038,1603
11364,1594
11004,1570
10030,1559
11366,1552
11239,1521
10037,1516
11426,1473
11104,1383
10308,1317
11415,1302
10471,1241
10075,1219
10314,1206
10039,1160
10040,1157
11362,1147
11694,1031
11692,1017
10004,974
11693,945
11360,770
11363,731
10005,576
10006,569
10307,546
10464,534
11001,307
10000,305
10020,297
11040,272
11430,209
10280,132
10282,112
10168,108
10119,108
10069,106
11697,91
10172,91
10121,81
10302,78
11109,77
10281,59
10169,54
11005,53
10278,48
10165,45
10118,45
10123,26
10105,23
10112,18
10153,18
11359,16
10041,16
10271,15
10110,14
10120,13
10155,12
10177,11
10154,10
10103,9
10279,9
10178,9
10170,8
10167,7
10174,7
10045,6
11695,5
10107,5
10171,5
10106,5
10115,4
10152,4
10111,4
10179,3
10158,3
10122,3
10151,3
10173,3
10176,2
10044,1
10048,1
11251,1
10055,1
11242,1
11241,1
10166,1
